commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,fix,isBug,bug_id,commit_time
f7a420bc1b1f2f4dedb17ede1fb2994099b488fa,1,0,0,20,4.854313272,3,0.004752005,0,0.001349528,2454,1.014097656,9,1,0,0,,1365814374
09205679017c226adafe4144eb468d22b0c5ed71,1,0,0,20,31.19940146,5,0.004012036,0.004262788,0.003148898,2456,2.609888167,13,1,0,0,,1365827203
7a917c6471b8dd952bcf70be68e2600881a3a61b,1,0,0,20,21.94893519,2,0.087965991,0.018312623,0.001349528,2459,1.034304357,18,1,0,0,,1365827517
5ba7a68387cd6b84442aaa379fffbc471e0c4705,1,0,0,20,3.623842593,3,0.001771165,0.000708466,0.001349528,2462,1.556656707,6,1,0,0,,1365827684
36e179e4e6cc114621e6177de1d5faa860805d43,1,0,0,20,6.451304977,3,0.022740525,0.001749271,0.00179937,2465,1.105775836,18,1,0,0,,1365827974
61ad106b0e5a1306e5772e660cdd29e718c053f8,1,0,0,20,6.3184375,2,0.003523608,0.000352361,0.000899685,2468,0.845350937,1,1,0,0,,1366006982
0b797ab10f209f92a7a0b749ea43a91074a2ed07,1,0,0,20,0.002326389,1,0.00140746,0,0.000899685,2471,0.811278124,1,1,0,0,,1366007183
58dabba136a3b8598e807b0d539c4cf60edd2202,1,0,0,20,0.03943287,1,0.360655738,0,0.007596068,2473,3.825280873,12,1,0,0,,1366010590
4b51d9a61177258483f88c6a531b10d340657683,1,0,0,20,16.04258102,2,0.013518451,0.002557545,0.001340483,2475,1.221310442,18,1,0,0,,1366046231
4b386d755b2fd3c34fa8acf77a73584ccec67743,1,0,0,20,5.890358796,2,0.001119403,0.000373134,0.000893655,2477,1,10,1,0,0,,1366046313
6a50ecb027017b082cc1641edfa2165553550f70,1,0,0,20,1.792299383,2,0.025790922,0.000343879,0.001786512,2479,0.863533842,8,1,0,0,,1366046425
64d7b50d1c1948a891263bb88ddbf5db0bd0cb17,1,0,0,20,17.90279835,7,0.049397962,0.005866008,0.004464286,2481,2.403225334,22,1,0,0,,1366048730
8d93a4c346f9579d68150536e6f4e6141286b917,1,0,0,20,4.653969907,3,0.233374384,0.093288177,0.001339286,2483,1.016474941,9,1,0,0,,1366057415
b173415a51d1d65428cbd092abbfd904e47f2c52,1,0,0,20,0.075671296,1,0.0064,0,0.000892459,2485,0.543564443,5,1,0,0,,1366063953
3e6b6d80f14a795e7cee196d93272086996df6a1,1,0,0,20,1.57384838,2,0.00167392,0,0.000892459,2487,0.970950594,7,1,0,0,,1366064057
2584cd00580209c23ade8e0cb9b517fdddbdb491,1,0,0,20,1.595520833,2,0.001573564,0.000786782,0.000892459,2489,0.918295834,2,1,0,0,,1366064504
bdf330542542c8e60089a7b5ed09301df13af577,1,0,0,20,40.4228125,2,0.002791069,0.00199362,0.000892459,2491,0.650022422,5,1,0,0,,1366064713
0171dea7473affa82cf8439d6c9eb630bc0e51f1,1,0,0,20,6.037837963,6,0.017359187,0.008125577,0.004462294,2494,2.724634648,13,1,0,0,,1366065404
835a068842ad1a12adfe0a84844e5efb413ae693,1,0,0,20,2.03462963,2,0.001522533,0.000609013,0.000892459,2497,0.985228136,3,1,0,0,,1366065660
61cd9b37d08f465d97df7e05fd01b48ed33dad0f,1,0,0,20,4.949537037,2,0.005079365,0.000634921,0.000892459,2500,0.650022422,3,1,0,0,,1366067141
d4ec0f7756b2f7d6330bf9aec537c1a0915ef1dc,1,0,0,20,13.37054012,3,0.009495982,0.003652301,0.001784121,2503,1.607295048,2,1,0,0,,1366067436
7f8a9fc561641597cd167d9210772d429e8e03fb,1,0,0,20,3.525538194,3,0.002610057,0.000870019,0.001784121,2660,1.595461844,5,1,0,0,,1366067733
58d1aa58a162c243d3f61a040ad77442490d1e76,1,0,0,20,4.515734954,5,0.006787782,0.001996406,0.003568243,2509,2.473484864,14,1,0,0,,1366068022
f323dd1bc9c5872815bff0d21de51aff929a25c9,1,0,0,20,29.92260086,6,0.009525429,0.087770029,0.003122212,2511,1.304429709,14,1,0,0,,1366068723
9d893201c7e19e7a04d569720d08133efdf368f5,1,0,0,20,1.403055556,2,0.000905961,0.000362384,0.001338091,2514,1.556656707,7,1,0,0,,1366071910
474a9d1f656b3a75a3b08a2d02098a359c1209ca,1,0,0,20,7.346412037,6,0.016865643,0.009475081,0.003122212,2517,2.075031755,15,1,0,0,,1366072709
37c6762e1b7027c175da20a87308f01b595fe54d,1,0,0,5,17.5983044,3,0.015492958,0.033802817,0.001784121,444,1.349175516,4,1,0,0,,1366076437
1f0d9c38d8bb8407e87852c6db4751bdc326afb7,1,0,0,20,5.692316358,7,0.084826874,0.026836821,0.007133304,3803,3.15836637,14,1,0,0,,1366080325
a6bec1ee66d269aab3b9c2eba1c886619d024c6a,1,0,0,20,2.15748071,2,0.013047306,0.008084527,0.001337494,5564,1.039927162,16,1,0,0,,1366088956
b5ff7321114af372dddfe55c171fd116da5cccbd,1,0,0,20,27.74387153,2,0.001543805,0.000385951,0.000891663,2528,0.970950594,6,1,0,0,,1366142415
b8d77c647044ca2a108bd841484900ef29ea0c2d,1,0,0,20,2.016498843,2,0.002154399,0.000359066,0.000891663,2531,0.985228136,10,1,0,0,,1366146429
f2280e358c69132c4449a0f0e6a021883fb61e9c,1,0,0,20,62.45782407,2,0.005681818,0.000378788,0.000891663,2533,0.543564443,7,1,0,0,,1366151667
c1c40146679780bf3432d300ae2b0c062117a1d1,1,0,0,1,0,0,0.992481203,0,0.000445633,133,0,7,1,0,0,,1366151703
143268eb65a437d61e478ed99c66a9379e8234f6,1,0,0,20,0.610300926,2,0.001017812,0.000254453,0.000891266,2536,0.970950594,6,1,0,0,,1366164918
d03cf6863d32cfe36bdab48de656429eda5d6b16,1,0,0,20,1.375353009,2,0.007987828,0.000380373,0.000891266,2539,0.574635698,7,1,0,0,,1366224502
b64a4a8a0fb4ffeb8b2bc18f95f66fb7a0315446,1,0,0,20,14.51397817,4,0.105089952,0.029837648,0.003563474,2542,1.88355121,18,1,0,0,,1366225075
